rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
741,kaya_e,Erin A Kaya,"Department of Radiation Oncology, Oregon Health Sciences University, Portland, OR 97239, United States. erinkaya@berkeley.edu.",USA,2,1,2,1.0,0,0,0.041909904991363205,,"World journal of clinical oncology, Cureus",2025-2025,North America,1,27.3,65.9,55.1,44.2,65.9,38.8,47.5,Tier 3,False,False
742,marcoux_c,Curtis Marcoux,"Division of Hematology, Dalhousie University, Halifax, Canada.",Canada,2,1,2,1.0,0,0,0.04017564953837525,"Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Retrospective Studies, Transplantation Conditioning",Transplantation and cellular therapy,2025-2026,North America,1,27.3,65.9,55.1,44.2,65.9,36.9,47.4,Tier 3,False,False
743,blade_j,Joan Bladé,"Department of Hematology Hospital Clinic of Barcelona, Instituto de Investigaciones Biomédicas August Pi I Sunyer (IDIBAPS) Barcelona Spain.",Spain,2,0,2,1.0,4,0,0.050733304224335064,,HemaSphere,2024-2024,Europe,0,27.3,26.0,55.1,98.7,26.0,48.1,47.4,Tier 3,False,False
744,iannozzi_n,Nicolas Thomas Iannozzi,"Department of Medicine and Surgery, University of Parma, 43126 Parma, Italy.",Italy,2,2,1,0.5,0,0,0.026706231454005934,"Bone Marrow, Plasma Cells, Paraproteinemias, Monoclonal Gammopathy of Undetermined Significance, Tumor Microenvironment","International journal of molecular sciences, Annals of hematology",2022-2026,Europe,2,27.3,86.2,25.6,44.2,86.2,20.3,47.4,Tier 3,False,False
745,blue_b,Brandon J Blue,"Moffitt Cancer Center, Tampa, Florida.",USA,3,0,2,0.667,0,0,0.07078632841578444,"Receptors, Chimeric Antigen, Immunotherapy, Adoptive, Neoplasms, Plasma Cell, Albumins, Black or African American, Delivery of Health Care","Transplantation and cellular therapy, Blood cancer journal, Blood",2023-2026,North America,0,64.2,26.0,55.1,44.2,26.0,64.8,47.4,Tier 3,False,False
746,malard_f,Florent Malard,"Sorbonne Université, Centre de Recherche Saint-Antoine INSERM UMRs938, Paris, France. florent.malard@inserm.fr.",France,2,1,2,1.0,0,0,0.039906860443653595,"Neoplasm, Residual, Prognosis, Flow Cytometry","Blood cancer journal, Presse medicale (Paris, France : 1983)",2024-2025,Europe,1,27.3,65.9,55.1,44.2,65.9,36.3,47.3,Tier 3,False,False
747,lee_y,Young Kyung Lee,"Department of Laboratory Medicine, Hallym University Sacred Heart Hospital, Anyang, Republic of Korea.",South Korea,4,0,1,0.25,0,0,0.0871299144927016,"Adolescent, Artificial Intelligence, Ethnicity, Hematologic Neoplasms, Leukemia, Myeloid, Acute, Mutation","Medicine, Journal of bone metabolism, Nature communications",2021-2026,Asia-Pacific,0,78.1,26.0,25.6,44.2,26.0,73.1,47.3,Tier 3,False,False
748,oskarsson_j,Jon Thorir Oskarsson,"Faculty of Medicine, University of Iceland, Reykjavík, Iceland.",Unknown,2,1,2,1.0,0,0,0.03864339140594039,"Monoclonal Gammopathy of Undetermined Significance, Thrombosis, Prospective Studies, Iceland, Risk Factors, Follow-Up Studies","British journal of haematology, Blood cancer journal",2024-2025,Unknown,1,27.3,65.9,55.1,44.2,65.9,34.9,47.2,Tier 3,False,False
749,riva_e,Eloísa Riva,"Hospital de Clínicas, Montevideo, Uruguay; Hospital Británico, Montevideo, Uruguay.",Unknown,2,1,2,1.0,0,0,0.038685731141325876,,"Hematology, transfusion and cell therapy, Journal of clinical oncology : official journal of the American Society of Clinical Oncology",2024-2026,Unknown,1,27.3,65.9,55.1,44.2,65.9,35.1,47.2,Tier 3,False,False
750,peng_c,Cheng Peng,"State Key Laboratory of Drug Research, Drug Discovery and Design Center, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai 201203, China.",China,2,1,2,1.0,0,0,0.03915250570962282,,"Acta pharmaceutica Sinica. B, British journal of haematology",2024-2026,Asia-Pacific,1,27.3,65.9,55.1,44.2,65.9,35.8,47.2,Tier 3,False,False
751,ruggeri_a,Annalisa Ruggeri,"Hematology and BMT Unit, IRCCS San Raffaele Hospital, Milano, Italy. annalisaruggeri80@hotmail.com.",Italy,2,1,2,1.0,0,0,0.03886495632498012,,Bone marrow transplantation,2026-2026,Europe,1,27.3,65.9,55.1,44.2,65.9,35.6,47.2,Tier 3,False,False
752,cohen_y,Yael C Cohen,"Tel Aviv Sourasky (Ichilov) Medical Center, Tel Aviv, Israel.",Israel,2,0,2,1.0,2,0,0.05539289174274796,"Tumor Microenvironment, Prognosis, Plasmacytoma","American journal of hematology, Blood advances",2026-2026,Middle East / GCC,0,27.3,26.0,55.1,95.2,26.0,52.4,47.2,Tier 3,False,False
753,gavriatopoulou_m,Maria Gavriatopoulou,"Department of Clinical Therapeutics, School of Medicine, National and Kapodistrian University of Athens, 11528 Athens, Greece.",Greece,5,0,1,0.2,0,0,0.05681521347194719,"Immunogenic Cell Death, Antibodies, Monoclonal, Humanized","Biomedicines, Cureus, American journal of hematology",2021-2025,Europe,0,85.1,26.0,25.6,44.2,26.0,54.8,47.2,Tier 3,False,False
754,marchese_e,Emanuela Marchese,"Dipartimento di Scienze della Salute, Università ""Magna Græcia"" di Catanzaro, Campus ""S. Venuta"", 88100 Catanzaro, Italy.",Italy,2,2,1,0.5,0,0,0.02439045841230471,,"Pharmaceuticals (Basel, Switzerland), International journal of biological macromolecules",2023-2026,Europe,2,27.3,86.2,25.6,44.2,86.2,17.8,47.1,Tier 3,False,False
755,sanchez_l,Larysa Sanchez,"Division of Hematology and Medical Oncology, Icahn School of Medicine at Mount Sinai, New York, NY.",USA,2,0,2,1.0,4,0,0.0464693525863727,,"Blood neoplasia, Clinical lymphoma, myeloma & leukemia",2024-2026,North America,0,27.3,26.0,55.1,98.7,26.0,43.6,47.0,Tier 3,False,False
756,tuglular_a,Ayse Tulin Tuglular,"Division of Hematology, Department of Internal Medicine, Pendik Training and Research Hospital, Marmara University School of Medicine, Istanbul, Türkiye.",Turkey,2,1,2,1.0,0,0,0.03725675700633811,,"Frontiers in medicine, Transplantation and cellular therapy",2026-2026,Middle East / GCC,1,27.3,65.9,55.1,44.2,65.9,33.3,47.0,Tier 3,False,False
757,noguchi_y,Yurika Noguchi,"Division of Hematology and Rheumatology, Department of Medicine,Nihon University School of Medicine, Tokyo, Japan.",Japan,2,1,1,0.5,0,0,0.0980167457655324,"Pharmacovigilance, Adverse Drug Reaction Reporting Systems, Antibodies, Monoclonal, Databases, Factual, United States, Antineoplastic Agents","Cancer diagnosis & prognosis, Expert opinion on drug safety",2021-2024,Asia-Pacific,1,27.3,65.9,25.6,44.2,65.9,77.7,47.0,Tier 3,False,False
758,tang_d,Derek Tang,"Bristol Myers Squibb, Princeton, NJ.",Unknown,3,0,2,0.667,0,0,0.06428390762751499,"Prospective Studies, Quality of Life, Registries, Delivery of Health Care, Receptors, Antigen, T-Cell, Dexamethasone","Clinical lymphoma, myeloma & leukemia, Frontiers in immunology, Pathology",2023-2026,Unknown,0,64.2,26.0,55.1,44.2,26.0,60.7,47.0,Tier 3,False,False
759,ding_k,Kai Ding,"Department of Hematology, Tianjin Medical University General Hospital, Tianjin 300052, China.",China,4,0,2,0.5,0,0,0.031196484874441092,"Animals, Tumor Microenvironment, Mice, Photosensitizing Agents, Serum Albumin, Bovine, Reactive Oxygen Species","Cancers, Advanced materials (Deerfield Beach, Fla.), Journal of translational internal medicine",2022-2026,Asia-Pacific,0,78.1,26.0,55.1,44.2,26.0,25.7,47.0,Tier 3,False,False
760,tran_t,Thien An Tran,"Division of Haematology, Department of Oncology, Geneva University Hospitals, Geneva, Switzerland.",Switzerland,2,1,2,1.0,0,0,0.03749555424420872,"Antibodies, Bispecific, Leukemia, Plasma Cell, Receptors, G-Protein-Coupled, B-Cell Maturation Antigen, Antineoplastic Agents, Immunological","Frontiers in immunology, American journal of therapeutics",2024-2026,Europe,1,27.3,65.9,55.1,44.2,65.9,33.8,47.0,Tier 3,False,False
761,ozkocaman_v,Vildan Ozkocaman,"Department of Internal Medicine, Bursa Uludag University, Bursa, TUR.",Unknown,3,0,3,1.0,0,0,0.029973170278586155,,"Cureus, Transplantation and cellular therapy, Diagnostics (Basel, Switzerland)",2024-2026,Unknown,0,64.2,26.0,78.7,44.2,26.0,24.6,47.0,Tier 3,True,False
762,toptas_t,Tayfur Toptas,"Division of Hematology, Department of Internal Medicine, Pendik Training and Research Hospital, Marmara University School of Medicine, Istanbul, Türkiye.",Turkey,2,1,2,1.0,0,0,0.03725675700633811,,"Frontiers in medicine, Transplantation and cellular therapy",2026-2026,Middle East / GCC,1,27.3,65.9,55.1,44.2,65.9,33.3,47.0,Tier 3,False,False
763,ziccheddu_b,Bachisio Ziccheddu,"Myeloma Service, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",USA,2,1,1,0.5,0,0,0.09736815345927227,,"medRxiv : the preprint server for health sciences, bioRxiv : the preprint server for biology",2023-2025,North America,1,27.3,65.9,25.6,44.2,65.9,77.4,47.0,Tier 3,False,False
764,guren_c,Ceren Uzunoglu Guren,"Division of Hematology, Department of Internal Medicine, Pendik Training and Research Hospital, Marmara University School of Medicine, Istanbul, Türkiye.",Turkey,2,1,2,1.0,0,0,0.03725675700633811,,"Frontiers in medicine, Transplantation and cellular therapy",2026-2026,Middle East / GCC,1,27.3,65.9,55.1,44.2,65.9,33.3,47.0,Tier 3,False,False
765,hu_z,Zhongli Hu,"Hematology Department, First Hospital of Jilin University, Changchun, Jilin, China.",China,3,0,2,0.667,0,0,0.061299674859455436,"Neoplasm, Residual, Mice, Animals, Cell Line, Tumor, Positron-Emission Tomography, Peptides","American journal of hematology, Molecular pharmaceutics, Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",2023-2026,Asia-Pacific,0,64.2,26.0,55.1,44.2,26.0,59.2,46.9,Tier 3,False,False
766,shu_l,Lingling Shu,"State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, Guangdong 510060, China.",China,2,1,2,1.0,0,0,0.03587409503374052,"Antibodies, Bispecific, B-Cell Maturation Antigen, Receptors, G-Protein-Coupled, CD3 Complex, Clinical Trials as Topic, Antineoplastic Agents, Immunological","Genes & diseases, Frontiers in immunology",2024-2026,Asia-Pacific,1,27.3,65.9,55.1,44.2,65.9,32.2,46.9,Tier 3,False,False
767,lin_d,Dee Lin,"Janssen Scientific Affairs, LLC, Horsham, PA.",Unknown,2,1,2,1.0,0,0,0.03499552015116222,"Retrospective Studies, Outpatients, Health Resources, Patient Acceptance of Health Care, Boron Compounds, Glycine","JCO oncology practice, Zhongguo shi yan xue ye xue za zhi",2025-2025,Unknown,1,27.3,65.9,55.1,44.2,65.9,31.1,46.8,Tier 3,False,False
768,munawar_u,Umair Munawar,"Department of Internal Medicine II, University Hospital of Würzburg, Würzburg, Germany.",Germany,2,1,1,0.5,0,0,0.09399112226645465,"Immunotherapy, T-Lymphocytes, Antibodies, Monoclonal, Receptors, Death Domain, Fas-Associated Death Domain Protein","Communications biology, Experimental hematology & oncology",2023-2025,Europe,1,27.3,65.9,25.6,44.2,65.9,75.8,46.8,Tier 3,False,False
769,zhu_l,Li Zhu,"Department of Hematology and Lymphoma, Tumor Hospital Affiliated to Nantong University, Nantong, China.",China,3,0,2,0.667,0,0,0.060088049089240834,,"Translational cancer research, Frontiers in oncology, Blood",2022-2026,Asia-Pacific,0,64.2,26.0,55.1,44.2,26.0,58.3,46.8,Tier 3,False,False
770,rahman_r,Raeef Rahman,"Division of Hematologic Malignancies & Cellular Therapeutics, University of Kansas Medical Center, Westwood, Kansas.",USA,2,1,2,1.0,0,0,0.03520994077418175,"Retrospective Studies, Pharmacovigilance, Immunotherapy, Adoptive, Lymphohistiocytosis, Hemophagocytic, Receptors, Chimeric Antigen, United States","Transplantation and cellular therapy, Current oncology (Toronto, Ont.)",2026-2026,North America,1,27.3,65.9,55.1,44.2,65.9,31.2,46.8,Tier 3,False,False
771,yoshida_m,Mina Yoshida,"Department of Hematology and Oncology, Graduate School of Medicine, The University of Tokyo, 7-3-1 Hongo, Bunkyo-Ku, Tokyo, 113-8655, Japan.",Japan,2,2,0,0.0,0,0,0.04525846861057686,"Shock, Septic, Streptococcus agalactiae, Streptococcus pyogenes, Streptococcal Infections, Bacteremia, Epstein-Barr Virus Infections","Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy, International journal of hematology",2023-2023,Asia-Pacific,2,27.3,86.2,6.4,44.2,86.2,42.6,46.7,Tier 3,False,False
772,kurokawa_m,Mineo Kurokawa,"Department of Hematology and Oncology, Graduate School of Medicine, The University of Tokyo, 7-3-1 Hongo, Bunkyo-Ku, Tokyo, 113-8655, Japan; Department of Cell Therapy and Transplantation Medicine, The University of Tokyo Hospital, 7-3-1 Hongo, Bunkyo-Ku, Tokyo, 113-8655, Japan. Electronic address: kurokawa@m.u-tokyo.ac.jp.",Japan,2,2,0,0.0,0,0,0.04525846861057686,"Shock, Septic, Streptococcus agalactiae, Streptococcus pyogenes, Streptococcal Infections, Bacteremia, Epstein-Barr Virus Infections","Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy, International journal of hematology",2023-2023,Asia-Pacific,2,27.3,86.2,6.4,44.2,86.2,42.6,46.7,Tier 3,False,False
773,barbu_s,Sinziana Barbu,"Clinical Department I, Hematology, Fundeni Clinical Institute, 022328 Bucharest, Romania.",Romania,3,0,3,1.0,0,0,0.02821393977361224,"Romania, Risk, Recurrence, Tumor Suppressor Protein p53, In Situ Hybridization, Chromosome Deletion","Cancers, International journal of molecular sciences, Journal of clinical medicine",2025-2026,Europe,0,64.2,26.0,78.7,44.2,26.0,22.4,46.7,Tier 3,True,False
774,zidaru_l,Larisa Zidaru,"Clinical Department I, Hematology, Fundeni Clinical Institute, 022328 Bucharest, Romania.",Romania,3,0,3,1.0,0,0,0.02821393977361224,"Romania, Risk, Recurrence, Tumor Suppressor Protein p53, In Situ Hybridization, Chromosome Deletion","Cancers, International journal of molecular sciences, Journal of clinical medicine",2025-2026,Europe,0,64.2,26.0,78.7,44.2,26.0,22.4,46.7,Tier 3,True,False
775,lee_r,Robert J Lee,"Division of Pharmaceutics and Pharmacology, College of Pharmacy, The Ohio State University, Columbus, OH 43210, USA.",USA,2,2,1,0.5,0,0,0.02082991002143532,"Diagnosis, Differential, Lymphoma, Large B-Cell, Diffuse, Magnetic Resonance Imaging, Paraplegia, Plasmablastic Lymphoma, Spinal Cord Compression","Pharmaceutics, BMJ case reports",2023-2024,North America,2,27.3,86.2,25.6,44.2,86.2,13.3,46.7,Tier 3,False,False
776,hus_m,Marek Hus,"Department of Hematooncology and Bone Marrow Transplantation, Medical University of Lublin, Poland.",Poland,2,1,1,0.5,0,0,0.09076126583816788,"Boron Compounds, Dexamethasone, Glycine, Lenalidomide, Neoplasm Recurrence, Local","Annals of agricultural and environmental medicine : AAEM, The New England journal of medicine",2022-2026,Europe,1,27.3,65.9,25.6,44.2,65.9,74.5,46.7,Tier 3,False,False
777,himcinschi_m,Mihai Emanuel Himcinschi,"Hematology Department, ""Carol Davila"" University of Medicine and Pharmacy, 050474 Bucharest, Romania.",Romania,3,0,3,1.0,0,0,0.02821393977361224,"Romania, Risk, Recurrence, Tumor Suppressor Protein p53, In Situ Hybridization, Chromosome Deletion","Cancers, International journal of molecular sciences, Journal of clinical medicine",2025-2026,Europe,0,64.2,26.0,78.7,44.2,26.0,22.4,46.7,Tier 3,True,False
778,su_y,Yong-Feng Su,"Department of Hematopoietic Stem Cell Transplantation, The Fifth Medical Center of PLA General Hospital, Beijing 100071, China.",China,2,1,1,0.5,0,0,0.08784312516245878,"Hematopoietic Stem Cell Mobilization, Lymphoma, Peripheral Blood Stem Cells, Retrospective Studies","Zhongguo shi yan xue ye xue za zhi, Cancer pathogenesis and therapy",2021-2025,Asia-Pacific,1,27.3,65.9,25.6,44.2,65.9,73.4,46.6,Tier 3,False,False
779,joao_c,Cristina João,"Hemato-Oncology Unit, Hematology Department Fundação Champalimaud Lisbon Portugal.",Portugal,2,1,2,1.0,0,0,0.03432901741923727,,"EJHaem, Translational oncology",2024-2026,Europe,1,27.3,65.9,55.1,44.2,65.9,29.3,46.6,Tier 3,False,False
780,bagal_b,Bhausaheb Bagal,"BMT Unit, Department of Medical Oncology, Tata Memorial Centre, ACTREC, Kharghar, Navi Mumbai, 410210 India.",India,2,1,2,1.0,0,0,0.03442315625728227,,"Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion, EJHaem",2025-2026,Asia-Pacific,1,27.3,65.9,55.1,44.2,65.9,29.7,46.6,Tier 3,False,False
781,doi_h,Hiroki Doi,"Field of Clinical Laboratory Sciences, Fujita Health University Graduate School of Health Sciences, Toyoake, 470-1192, Japan.",Japan,2,2,1,0.5,0,0,0.02013138999886967,"Apoptosis, Cell Line, Tumor, Cytarabine, Diterpenes, Reactive Oxygen Species, Andrographis paniculata","F1000Research, Anticancer research",2021-2026,Asia-Pacific,2,27.3,86.2,25.6,44.2,86.2,12.0,46.6,Tier 3,False,False
782,qin_y,Yanru Qin,"Department of Oncology, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China.",China,2,2,1,0.5,0,0,0.01952735630816399,"Receptors, Chimeric Antigen, Neoplasm Recurrence, Local, Immunotherapy, Adoptive, Cell- and Tissue-Based Therapy, Tumor Microenvironment","Frontiers in immunology, Frontiers in pharmacology",2022-2026,Asia-Pacific,2,27.3,86.2,25.6,44.2,86.2,11.7,46.5,Tier 3,False,False
783,wolf_j,Julia Wolf,"National Health Service Blood and Transplant, Filton, United Kingdom; Bristol Haematology and Oncology Centre, Bristol, United Kingdom. Electronic address: julia.wolf@nhsbt.nhs.uk.",UK,2,1,0,0.0,1,0,0.01639385043447442,"Hematopoietic Stem Cells, Salvage Therapy, Transplantation, Autologous","Transplantation and cellular therapy, Frontiers in oncology",2021-2021,Europe,1,27.3,65.9,6.4,91.0,65.9,7.7,46.5,Tier 3,False,False
784,schavgoulidze_a,Anais Schavgoulidze,"Team Genomic and Immunology of Multiple Myeloma, Centre de Recherche en Cancérologie de Toulouse INSERM U1037-Paul Sabatier University-CNRS, Toulouse, France; Unit for Genomics in Myeloma, Institut Universitaire du Cancer de Toulouse Oncopole, University Hospital, Toulouse.",France,2,1,2,1.0,0,0,0.033730052194685924,,"Haematologica, Blood",2026-2026,Europe,1,27.3,65.9,55.1,44.2,65.9,28.6,46.5,Tier 3,False,False
785,schecter_j,Jordan M Schecter,Janssen R&D Raritan New Jersey USA.,USA,3,0,2,0.667,0,0,0.05777061905184529,"Progression-Free Survival, Prospective Studies, Neoplasm Recurrence, Local, Proteasome Inhibitors, Lenalidomide, Antibodies, Monoclonal","EJHaem, Clinical lymphoma, myeloma & leukemia, European journal of cancer (Oxford, England : 1990)",2022-2025,North America,0,64.2,26.0,55.1,44.2,26.0,55.7,46.5,Tier 3,False,False
786,sevindik_o,Ömür Gökmen Sevindik,"Department of Hematology, Medipol University Faculty of Medicine, İstanbul, Turkey.",Turkey,2,1,2,1.0,0,0,0.03295543259740762,"Monoclonal Gammopathy of Undetermined Significance, Phosphatidylinositol 3-Kinases, Turkey, Neoplasm Recurrence, Local, Germ Cells, Genetic Predisposition to Disease","British journal of haematology, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion",2024-2025,Middle East / GCC,1,27.3,65.9,55.1,44.2,65.9,28.2,46.5,Tier 3,False,False
787,pathangey_l,Latha Pathangey,Mayo Clinic Arizona USA.,USA,3,0,3,1.0,0,0,0.025668741628727842,"Cell Line, Tumor, Drug Resistance, Neoplasm, Gene Knockout Techniques, Ferritins, Reactive Oxygen Species, Iron","Hematology, transfusion and cell therapy, European journal of haematology, Cancer research communications",2026-2026,North America,0,64.2,26.0,78.7,44.2,26.0,20.0,46.5,Tier 3,True,False
788,theodorakakou_f,Foteini Theodorakakou,Department of Clinical Therapeutics School of Medicine National and Kapodistrian University of Athens Athens Greece.,Greece,3,0,3,1.0,0,0,0.02522255192878338,,"EJHaem, Clinical lymphoma, myeloma & leukemia, Proteomics",2025-2026,Europe,0,64.2,26.0,78.7,44.2,26.0,18.8,46.4,Tier 3,True,False
789,huang_n,Na Huang,"Department of Radiotherapy, Radiation Oncology Key Laboratory of Sichuan Province, Sichuan Clinical Research Center for Cancer, Sichuan Cancer Hospital & Institute, Sichuan Cancer Center, Affiliated Cancer Hospital of University of Electronic Science and Technology of China, Chengdu, China.",China,2,2,1,0.5,0,0,0.01806577336904017,,"Frontiers in oncology, Frontiers in nutrition",2023-2025,Asia-Pacific,2,27.3,86.2,25.6,44.2,86.2,10.1,46.4,Tier 3,False,False
790,huang_g,Gan Huang,"Key Specialty of Clinical Pharmacy, The First Affiliated Hospital of Guangdong Pharmaceutical University, Guangzhou, Guangdong Province, China.",China,3,0,3,1.0,0,0,0.024945383634300433,"Fluorodeoxyglucose F18, Positron Emission Tomography Computed Tomography, Radiopharmaceuticals, Radiomics, Pharmacovigilance, Adverse Drug Reaction Reporting Systems","Nuclear medicine communications, Expert opinion on drug safety, Zhongguo shi yan xue ye xue za zhi",2024-2024,Asia-Pacific,0,64.2,26.0,78.7,44.2,26.0,18.7,46.4,Tier 3,True,False
791,imada_k,Kazunori Imada,Department of Hematology Japanese Red Cross Osaka Hospital Osaka Japan.,Japan,3,0,1,0.333,0,0,0.30459955628850266,"Antibodies, Bispecific, Japan, Recurrence, Survival Rate, East Asian People","EJHaem, Therapeutic advances in hematology, International journal of hematology",2021-2026,Asia-Pacific,0,64.2,26.0,25.6,44.2,26.0,97.4,46.3,Tier 3,False,False
792,ibrahim_n,Nourhan Ibrahim,"Department of Pathology, The University of Texas Health Science Center at Houston, Houston, Texas.",USA,2,1,2,1.0,0,0,0.03126733351521312,"Biomarkers, Tumor, Flow Cytometry, Immunophenotyping, Retrospective Studies, Leukemia, Plasma Cell, Plasma Cells","Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc, Seminars in diagnostic pathology",2026-2026,North America,1,27.3,65.9,55.1,44.2,65.9,26.1,46.3,Tier 3,False,False
793,siragusa_s,Sergio Siragusa,"Department of Health Promotion and Child Care, Internal Medicine and Medical Specialties, Università degli Studi di Palermo, Palermo, Italy.",Italy,3,0,2,0.667,0,0,0.05615868502771159,"Erythrocyte Deformability, Blood Viscosity, Lasers, Stress, Mechanical","Microvascular research, Frontiers in medicine, Blood neoplasia",2023-2026,Europe,0,64.2,26.0,55.1,44.2,26.0,53.2,46.3,Tier 3,False,False
794,sun_j,Jialin Sun,"Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, United States.",USA,3,0,2,0.667,0,0,0.05567594114727782,"Binding Sites, Casein Kinase Ialpha, Cell Line, Tumor, Cell Proliferation, Cyclic Nucleotide Phosphodiesterases, Type 6, Immunotherapy","Journal of medicinal chemistry, Annals of hematology, Clinical radiology",2022-2025,North America,0,64.2,26.0,55.1,44.2,26.0,53.0,46.3,Tier 3,False,False
795,hu_w,Wei Hu,"Hunan Province Key Laboratory of Tumor Cellular & Molecular Pathology, Cancer Research Institute, Hengyang Medical School, University of South China, Changshengxi Road 28#, Hengyang, 421001, Hunan, China.",China,2,1,2,1.0,0,0,0.031491001615773374,"Reactive Oxygen Species, Melphalan, DNA Damage, Apoptosis, Drug Combinations, Allyl Compounds","Annals of hematology, Theranostics",2024-2026,Asia-Pacific,1,27.3,65.9,55.1,44.2,65.9,26.4,46.3,Tier 3,False,False
796,zhou_p,Ping Zhou,"The John Conant Davis Myeloma and Amyloid Program, Tufts Medical Center, Boston, MA, USA.",USA,2,1,2,1.0,0,0,0.030856124842528285,"Prognosis, Biomarkers, Tumor, Gene Expression Regulation, Neoplastic, Gene Expression Profiling, Transcriptome, Databases, Genetic","British journal of cancer research, Frontiers in immunology",2024-2025,North America,1,27.3,65.9,55.1,44.2,65.9,25.5,46.2,Tier 3,False,False
797,moosajee_m,Munira Moosajee,"Agha Khan University Hospital, Karachi, Pakistan.",Pakistan,2,1,1,0.5,0,0,0.0785304938063666,,"Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion, Ecancermedicalscience",2022-2025,Asia-Pacific,1,27.3,65.9,25.6,44.2,65.9,69.1,46.2,Tier 3,False,False
798,chen_f,Fengjiao Chen,"Department of Hematology, West China Hospital, Sichuan University, Chengdu610041, P. R. China.",China,3,0,2,0.667,0,0,0.05563340872018358,"China, Retrospective Studies, Early Detection of Cancer, Myeloma Proteins, Blood Protein Electrophoresis, Follow-Up Studies","ACS omega, Cancer medicine, BMC cancer",2023-2024,Asia-Pacific,0,64.2,26.0,55.1,44.2,26.0,52.9,46.2,Tier 3,False,False
799,hose_d,Dirk Hose,"Department of Hematology and Immunology, Vrije Universiteit Brussel (VUB), Brussels, Belgium.",Belgium,2,1,1,0.5,0,0,0.07907526877895335,"RecQ Helicases, Melphalan, DNA Repair, Drug Resistance, Bortezomib, Animals","Frontiers in immunology, Journal of hematology & oncology",2022-2024,Europe,1,27.3,65.9,25.6,44.2,65.9,69.3,46.2,Tier 3,False,False
800,taylor_a,Allison O Taylor,"Division of Hematologic Malignancies and Cellular Therapy, Department of Medicine, Duke University School of Medicine, Durham, North Carolina, USA, duke.edu.",USA,2,1,2,1.0,0,0,0.029967093132556438,"Antibodies, Monoclonal, Humanized, Computer Simulation, Dexamethasone, Models, Biological, Thalidomide, Markov Chains","Case reports in hematology, CPT: pharmacometrics & systems pharmacology",2025-2026,North America,1,27.3,65.9,55.1,44.2,65.9,24.5,46.1,Tier 3,False,False
801,hayman_s,Suzanne R Hayman,"Division of Hematology, Mayo Clinic Rochester, Rochester, MN.",Unknown,3,0,2,0.667,0,0,0.053633234740057434,"Retrospective Studies, Hematopoietic Stem Cell Transplantation, In Situ Hybridization, Fluorescence, Transplantation, Autologous, Neoplasm Recurrence, Local, Disease Progression","Clinical lymphoma, myeloma & leukemia, Blood cancer journal, American journal of hematology",2023-2026,Unknown,0,64.2,26.0,55.1,44.2,26.0,51.1,46.1,Tier 3,False,False
802,hu_b,Bin Hu,"Department of Hematology, the Second Xiangya Hospital, School of Life Sciences, Hunan Province Key Laboratory of Basic and Applied Hematology, Central South University, Changsha 410011, Hunan, China.",China,2,1,2,1.0,0,0,0.029765535606492723,"Animals, Mice, Cell Line, Tumor, Xenograft Model Antitumor Assays, Cell Proliferation, Antineoplastic Agents","Biochemical pharmacology, Frontiers in immunology",2025-2025,Asia-Pacific,1,27.3,65.9,55.1,44.2,65.9,24.2,46.1,Tier 3,False,False
803,beer_h,Hayley Beer,"Department of Haematology, Peter MacCallum Cancer Centre and Royal Melbourne Hospital, Melbourne, Australia.",Australia,2,2,1,0.5,0,0,0.01640822983711033,"Bortezomib, COVID-19, Dexamethasone, Pandemics, SARS-CoV-2, Qualitative Research","Expert review of hematology, JMIR research protocols",2021-2025,Asia-Pacific,2,27.3,86.2,25.6,44.2,86.2,7.8,46.1,Tier 3,False,False
804,li_t,Tingting Li,"Institute of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, People's Republic of China.",China,3,0,3,1.0,0,0,0.022415495907010446,"Animals, Mice, Chromatin, RNA, Long Noncoding, RNA, Small Nucleolar, Mice, Inbred NOD","American journal of physiology. Cell physiology, Frontiers in oncology, Frontiers in immunology",2024-2025,Asia-Pacific,0,64.2,26.0,78.7,44.2,26.0,16.0,46.1,Tier 3,True,False
